ID,TOTAL_COUNT,MALE,FEMALE,COLOUR,Min Latitude,Max Latitude,Min Longitude,Max Longitude
7750,2,1,0,4,40.52352884,40.52492587,-74.18707105,-74.18522818
7754,1,0,1,0,40.52352884,40.52492587,-74.17969959,-74.17785672
7757,3,2,1,4,40.52352884,40.52492587,-74.17417099,-74.17232812
8043,6,2,2,2,40.52492587,40.52632291,-74.23867128,-74.23682842
8045,1,0,0,0,40.52492587,40.52632291,-74.23498555,-74.23314269
8053,7,3,4,1,40.52492587,40.52632291,-74.22024263,-74.21839976
8054,2,1,1,2,40.52492587,40.52632291,-74.21839976,-74.2165569
8055,5,4,1,4,40.52492587,40.52632291,-74.2165569,-74.21471403
8056,1,0,1,0,40.52492587,40.52632291,-74.21471403,-74.21287117
8058,2,0,2,0,40.52492587,40.52632291,-74.2110283,-74.20918543
8059,13,3,10,0,40.52492587,40.52632291,-74.20918543,-74.20734257
8061,3,3,0,4,40.52492587,40.52632291,-74.2054997,-74.20365684
8062,5,0,2,0,40.52492587,40.52632291,-74.20365684,-74.20181397
8063,3,1,1,2,40.52492587,40.52632291,-74.20181397,-74.19997111
8064,2,2,0,4,40.52492587,40.52632291,-74.19997111,-74.19812824
8070,2,1,1,2,40.52492587,40.52632291,-74.18891391,-74.18707105
8077,4,3,0,4,40.52492587,40.52632291,-74.17601385,-74.17417099
8080,1,1,0,4,40.52492587,40.52632291,-74.17048526,-74.16864239
8081,4,4,0,4,40.52492587,40.52632291,-74.16864239,-74.16679953
8082,1,0,1,0,40.52492587,40.52632291,-74.16679953,-74.16495666
8363,3,1,1,2,40.52632291,40.52771994,-74.24051415,-74.23867128
8368,4,0,2,0,40.52632291,40.52771994,-74.23129982,-74.22945696
8376,1,1,0,4,40.52632291,40.52771994,-74.2165569,-74.21471403
8377,2,1,1,2,40.52632291,40.52771994,-74.21471403,-74.21287117
8379,1,1,0,4,40.52632291,40.52771994,-74.2110283,-74.20918543
8380,4,4,0,4,40.52632291,40.52771994,-74.20918543,-74.20734257
8382,1,1,0,4,40.52632291,40.52771994,-74.2054997,-74.20365684
8384,3,0,1,0,40.52632291,40.52771994,-74.20181397,-74.19997111
8385,1,1,0,4,40.52632291,40.52771994,-74.19997111,-74.19812824
8389,30,9,12,1,40.52632291,40.52771994,-74.19259964,-74.19075678
8391,1,1,0,4,40.52632291,40.52771994,-74.18891391,-74.18707105
8392,1,0,1,0,40.52632291,40.52771994,-74.18707105,-74.18522818
8396,3,2,0,4,40.52632291,40.52771994,-74.17969959,-74.17785672
8397,9,2,7,0,40.52632291,40.52771994,-74.17785672,-74.17601385
8398,2,0,2,0,40.52632291,40.52771994,-74.17601385,-74.17417099
8399,2,1,1,2,40.52632291,40.52771994,-74.17417099,-74.17232812
8401,2,2,0,4,40.52632291,40.52771994,-74.17048526,-74.16864239
8402,3,2,1,4,40.52632291,40.52771994,-74.16864239,-74.16679953
8403,5,2,3,0,40.52632291,40.52771994,-74.16679953,-74.16495666
8404,2,1,1,2,40.52632291,40.52771994,-74.16495666,-74.16311379
8683,4,3,1,4,40.52771994,40.52911697,-74.24235702,-74.24051415
8684,4,1,1,2,40.52771994,40.52911697,-74.24051415,-74.23867128
8685,47,16,12,2,40.52771994,40.52911697,-74.23867128,-74.23682842
8687,1,0,0,0,40.52771994,40.52911697,-74.23498555,-74.23314269
8688,89,8,9,2,40.52771994,40.52911697,-74.23314269,-74.23129982
8691,63,3,3,2,40.52771994,40.52911697,-74.22761409,-74.22577123
8696,1,1,0,4,40.52771994,40.52911697,-74.21839976,-74.2165569
